file	line	call_type	symbol	proof_level
src/__tests__/e2e-automated-validation.test.tsx	2029	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2049	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2050	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2066	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2070	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2086	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2102	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2103	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2104	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2127	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2128	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2132	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2140	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2151	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2152	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2153	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2154	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2167	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2183	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2189	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2193	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2197	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/e2e-automated-validation.test.tsx	2201	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/core/commands/TAURI_COMMANDS.ts	222	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/integration/TauriIntegration.test.tsx	33	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
src/__tests__/integration/TauriIntegration.test.tsx	42	invoke-call	CALL_SITE	PROVEN_STATIC_ONLY
