]633;E;{   echo -e "file\\tline\\tcommand_fn\\tpresence"\x3b   rg -n "#\\[tauri::command\\]" src-tauri/src --glob '*.rs' | while IFS=: read -r f l _\x3b do     fn=$(sed -n "$((l+1)),$((l+6))p" "$f" | rg -o "fn\\s+[A-Za-z0-9_]+" | head -n1 | awk '{print $2}')\x3b     echo -e "$f\\t$l\\t${fn:-UNKNOWN}\\tFOUND"\x3b   done\x3b } > "$RAW/BACKEND_COMMAND_MAP.tsv";7084838b-a2ef-4d2a-a3ae-24a2fdc603e6]633;Cfile	line	command_fn	presence
src-tauri/src/api/memory_api.rs	44	write_log	FOUND
src-tauri/src/api/memory_api.rs	49	read_logs	FOUND
src-tauri/src/api/memory_api.rs	57	add_timeline_event	FOUND
src-tauri/src/api/memory_api.rs	87	memory_get_active_projects	FOUND
src-tauri/src/api/memory_api.rs	96	memory_get_recent_decisions	FOUND
src-tauri/src/api/memory_api.rs	106	memory_get_knowledge	FOUND
src-tauri/src/api/memory_api.rs	115	memory_get_active_rituals	FOUND
src-tauri/src/api/memory_api.rs	123	memory_get_timeline	FOUND
src-tauri/src/api/memory_api.rs	132	memory_save_chat_interaction	FOUND
src-tauri/src/api/memory_api.rs	142	memory_debug_scan	FOUND
src-tauri/src/api/chat_commands.rs	59	chat_get_history	FOUND
src-tauri/src/api/chat_commands.rs	65	chat_clear_history	FOUND
src-tauri/src/api/chat_commands.rs	72	chat_set_api_key	FOUND
src-tauri/src/api/chat_commands.rs	82	chat_check_config	FOUND
src-tauri/src/api/system_api.rs	22	get_full_system_state	FOUND
src-tauri/src/api/system_api.rs	39	get_nexus_state	FOUND
src-tauri/src/api/system_api.rs	44	get_harmonia_state	FOUND
src-tauri/src/api/system_api.rs	52	get_sentinel_state	FOUND
src-tauri/src/api/system_api.rs	80	get_detailed_health_report	FOUND
src-tauri/src/ai_chat/training_commands.rs	16	training_verify_kevin	FOUND
src-tauri/src/ai_chat/training_commands.rs	25	training_enable	FOUND
src-tauri/src/ai_chat/training_commands.rs	41	training_disable	FOUND
src-tauri/src/ai_chat/training_commands.rs	51	training_get_state	FOUND
src-tauri/src/ai_chat/training_commands.rs	60	training_get_stats	FOUND
src-tauri/src/ai_chat/training_commands.rs	69	training_record_feedback	FOUND
src-tauri/src/ai_chat/training_commands.rs	101	training_learn_pattern	FOUND
src-tauri/src/ai_chat/training_commands.rs	127	training_find_patterns	FOUND
src-tauri/src/ai_chat/training_commands.rs	140	training_start_session	FOUND
src-tauri/src/ai_chat/training_commands.rs	149	training_process_feedbacks	FOUND
src-tauri/src/ai_chat/training_commands.rs	158	training_end_session	FOUND
src-tauri/src/ai_chat/training_commands.rs	167	training_export_patterns	FOUND
src-tauri/src/ai_chat/training_commands.rs	176	training_import_patterns	FOUND
src-tauri/src/ai_chat/training_commands.rs	185	training_prune_patterns	FOUND
src-tauri/src/ai_chat/training_commands.rs	194	training_generate_report	FOUND
src-tauri/src/fusion.rs	132	fusion_collect	FOUND
src-tauri/src/fusion.rs	176	fusion_sync	FOUND
src-tauri/src/fusion.rs	199	fusion_build_dataset	FOUND
src-tauri/src/fusion.rs	207	fusion_export	FOUND
src-tauri/src/fusion.rs	221	fusion_merge	FOUND
src-tauri/src/fusion.rs	241	fusion_get_stats	FOUND
src-tauri/src/fusion.rs	250	fusion_clear	FOUND
src-tauri/src/fusion.rs	256	fusion_configure	FOUND
src-tauri/src/fusion.rs	267	fusion_get_config	FOUND
src-tauri/src/control_panel_commands.rs	317	cp_get_system_info	FOUND
src-tauri/src/control_panel_commands.rs	355	cp_run_system_diagnostic	FOUND
src-tauri/src/control_panel_commands.rs	393	cp_get_design_config	FOUND
src-tauri/src/control_panel_commands.rs	417	cp_set_design_config	FOUND
src-tauri/src/control_panel_commands.rs	442	cp_get_singularity_status	FOUND
src-tauri/src/control_panel_commands.rs	460	cp_toggle_singularity	FOUND
src-tauri/src/control_panel_commands.rs	480	cp_get_ai_config	FOUND
src-tauri/src/control_panel_commands.rs	485	cp_set_ai_config	FOUND
src-tauri/src/control_panel_commands.rs	498	cp_get_memory_stats	FOUND
src-tauri/src/control_panel_commands.rs	527	cp_clear_memory_cache	FOUND
src-tauri/src/control_panel_commands.rs	549	cp_get_modules_status	FOUND
src-tauri/src/control_panel_commands.rs	592	cp_toggle_module	FOUND
src-tauri/src/control_panel_commands.rs	631	cp_get_network_config	FOUND
src-tauri/src/control_panel_commands.rs	654	cp_set_network_config	FOUND
src-tauri/src/control_panel_commands.rs	677	cp_check_for_updates	FOUND
src-tauri/src/control_panel_commands.rs	706	cp_install_update	FOUND
src-tauri/src/control_panel_commands.rs	732	cp_get_logs	FOUND
src-tauri/src/control_panel_commands.rs	797	cp_clear_logs	FOUND
src-tauri/src/control_panel_commands.rs	825	cp_get_security_config	FOUND
src-tauri/src/control_panel_commands.rs	848	cp_set_security_config	FOUND
src-tauri/src/config/presets.rs	31	save_config_preset	FOUND
src-tauri/src/config/presets.rs	99	load_config_preset	FOUND
src-tauri/src/config/presets.rs	139	list_config_presets	FOUND
src-tauri/src/config/presets.rs	185	delete_config_preset	FOUND
src-tauri/src/config/io.rs	33	export_config	FOUND
src-tauri/src/config/io.rs	120	import_config	FOUND
src-tauri/src/config/io.rs	186	list_config_exports	FOUND
src-tauri/src/onboarding/mod.rs	93	is_onboarding_complete	FOUND
src-tauri/src/onboarding/mod.rs	128	complete_onboarding	FOUND
src-tauri/src/onboarding/mod.rs	158	get_onboarding_preferences	FOUND
src-tauri/src/onboarding/mod.rs	180	reset_onboarding	FOUND
src-tauri/src/introspection/scanner.rs	259	introspection_scan	FOUND
src-tauri/src/introspection/scanner.rs	265	introspection_auto_fix	FOUND
src-tauri/src/config/update.rs	379	update_runtime_config	FOUND
src-tauri/src/config/update.rs	424	update_chat_engine_config	FOUND
src-tauri/src/config/update.rs	476	get_chat_engine_config	FOUND
src-tauri/src/config/update.rs	482	set_chat_engine_config	FOUND
src-tauri/src/config/update.rs	500	get_chat_request_defaults	FOUND
src-tauri/src/config/update.rs	506	set_chat_request_defaults	FOUND
src-tauri/src/config/update.rs	524	set_chat_profile	FOUND
src-tauri/src/config/mod.rs	96	get_all_configs	FOUND
src-tauri/src/fusion_commands_week1.rs	147	fusion_activate_modules	FOUND
src-tauri/src/fusion_commands_week1.rs	319	fusion_adjust_styles	FOUND
src-tauri/src/hypervision/monitor.rs	230	hypervision_start	FOUND
src-tauri/src/hypervision/monitor.rs	241	get_system_metrics	FOUND
src-tauri/src/cache/middleware.rs	185	cache_invalidate_pattern	FOUND
src-tauri/src/cache/middleware.rs	191	cache_clear	FOUND
src-tauri/src/cache/middleware.rs	197	cache_get_metrics	FOUND
src-tauri/src/cache/middleware.rs	202	cache_cleanup	FOUND
src-tauri/src/cache/middleware.rs	216	get_system_health	FOUND
src-tauri/src/meta/commands.rs	25	meta_get_report	FOUND
src-tauri/src/meta/commands.rs	51	meta_trigger_sync	FOUND
src-tauri/src/meta/commands.rs	67	meta_get_alignment	FOUND
src-tauri/src/meta/commands.rs	84	meta_get_state	FOUND
src-tauri/src/meta/commands.rs	96	meta_establish_baseline	FOUND
src-tauri/src/meta/commands.rs	110	meta_selftest_all	FOUND
src-tauri/src/meta/commands.rs	193	meta_get_monitoring_metrics	FOUND
src-tauri/src/meta/commands.rs	200	meta_get_evaluation_history	FOUND
src-tauri/src/meta/commands.rs	209	meta_get_sync_history	FOUND
src-tauri/src/meta/commands.rs	218	meta_get_alerts	FOUND
src-tauri/src/meta/commands.rs	237	meta_acknowledge_alert	FOUND
src-tauri/src/meta/commands.rs	244	meta_set_auto_healing	FOUND
src-tauri/src/meta/commands.rs	252	meta_get_auto_healing_status	FOUND
src-tauri/src/meta/commands.rs	259	meta_get_healing_history	FOUND
src-tauri/src/meta/commands.rs	266	meta_get_recalibration_history	FOUND
src-tauri/src/meta/commands.rs	275	meta_trigger_recalibration	FOUND
src-tauri/src/meta/commands.rs	282	meta_verify_sync	FOUND
src-tauri/src/meta/commands.rs	289	meta_detect_desync	FOUND
src-tauri/src/commands/ia_commands.rs	60	set_api_key	FOUND
src-tauri/src/commands/ia_commands.rs	96	delete_api_key	FOUND
src-tauri/src/commands/ia_commands.rs	126	list_ai_providers	FOUND
src-tauri/src/commands/ia_commands.rs	144	test_api_key	FOUND
src-tauri/src/commands/ia_commands.rs	180	ia_generate	FOUND
src-tauri/src/commands/ia_commands.rs	231	get_available_engines	FOUND
src-tauri/src/cloud/commands.rs	81	cloud_init	FOUND
src-tauri/src/cloud/commands.rs	121	cloud_load_vault	FOUND
src-tauri/src/cloud/commands.rs	133	cloud_create_vault	FOUND
src-tauri/src/cloud/commands.rs	145	cloud_get_status	FOUND
src-tauri/src/cloud/commands.rs	187	cloud_sync_push	FOUND
src-tauri/src/cloud/commands.rs	196	cloud_sync_pull	FOUND
src-tauri/src/cloud/commands.rs	205	cloud_update_config	FOUND
src-tauri/src/cloud/commands.rs	260	cloud_get_devices	FOUND
src-tauri/src/cloud/commands.rs	274	cloud_remove_device	FOUND
src-tauri/src/cloud/commands.rs	286	cloud_get_sync_history	FOUND
src-tauri/src/cloud/commands.rs	310	cloud_update_vault_data	FOUND
src-tauri/src/cloud/commands.rs	325	cloud_verify_integrity	FOUND
src-tauri/src/cloud/commands.rs	334	cloud_backup_vault	FOUND
src-tauri/src/cloud/commands.rs	348	cloud_restore_vault	FOUND
src-tauri/src/cloud/commands.rs	362	cloud_auto_heal	FOUND
src-tauri/src/cloud/commands.rs	414	cloud_list_backups	FOUND
src-tauri/src/commands/diagnostic_commands.rs	92	check_online_capabilities	FOUND
src-tauri/src/singularity_state/commands.rs	35	singularity_get_full_state	FOUND
src-tauri/src/singularity_state/commands.rs	43	singularity_get_state	FOUND
src-tauri/src/singularity_state/commands.rs	51	singularity_get_physical	FOUND
src-tauri/src/singularity_state/commands.rs	60	singularity_get_cognitive	FOUND
src-tauri/src/singularity_state/commands.rs	69	singularity_get_symbolic	FOUND
src-tauri/src/singularity_state/commands.rs	78	singularity_get_adaptive	FOUND
src-tauri/src/singularity_state/commands.rs	87	singularity_get_meta	FOUND
src-tauri/src/singularity_state/commands.rs	96	singularity_get_global_coherence	FOUND
src-tauri/src/singularity_state/commands.rs	104	singularity_is_critical	FOUND
src-tauri/src/singularity_state/commands.rs	116	singularity_update_physical	FOUND
src-tauri/src/singularity_state/commands.rs	126	singularity_update_cognitive	FOUND
src-tauri/src/singularity_state/commands.rs	136	singularity_update_symbolic	FOUND
src-tauri/src/singularity_state/commands.rs	146	singularity_update_adaptive	FOUND
src-tauri/src/singularity_state/commands.rs	156	singularity_update_meta	FOUND
src-tauri/src/singularity_state/commands.rs	166	singularity_update_full_state	FOUND
src-tauri/src/singularity_state/commands.rs	177	sync_singularity	FOUND
src-tauri/src/singularity_state/commands.rs	191	singularity_save_state	FOUND
src-tauri/src/singularity_state/commands.rs	200	singularity_load_state	FOUND
src-tauri/src/cognitive/commands.rs	10	cognitive_run_selftest	FOUND
src-tauri/src/cognitive/commands.rs	15	cognitive_validate_state	FOUND
src-tauri/src/cognitive/commands.rs	22	cognitive_compute_hash_cmd	FOUND
